Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,2.4,0.284143989,0.252372735,2.10%,-0.058615968,-5.894538857,1.939854799,"643,120,129,220",5.765,6,0.205987637,24.714504,-1.579939125
1/5/15,,,2.4,0.284143989,0.252372735,2.10%,-0.083389215,-4.067058502,1.859450953,"643,120,129,220",5.765,6,0.971828409,24.018263,-0.028576024
1/6/15,,,2.4,0.284143989,0.252372735,2.10%,-0.079043053,-4.223078035,1.858345516,"643,120,129,220",5.765,6,1.000094155,24.020529,9.42E-05
1/7/15,,,2.4,0.284143989,0.252372735,2.10%,-0.042250161,-8.400136611,1.791559642,"643,120,129,220",5.765,6,1.014022172,24.357344,0.01392477
1/8/15,,,2.4,0.284143989,0.252372735,2.10%,-0.019734442,-19.57472106,1.73433118,"643,120,129,220",5.765,6,1.038422274,25.293205,0.037702517
1/9/15,,,2.4,0.284143989,0.252372735,2.10%,0.000535879,746.849459,1.680744915,"643,120,129,220",5.765,6,1.001072518,25.320337,0.001071943
1/12/15,,,2.4,0.284143989,0.252372735,2.10%,-0.021461391,-17.79784682,1.702947056,"643,120,129,220",5.765,6,0.975359308,24.696426,-0.024949355
1/13/15,,,2.4,0.284143989,0.252372735,2.10%,0.004455744,86.53660981,1.719634144,"643,120,129,220",5.765,6,1.008878719,24.915699,0.008839534
1/14/15,,,2.4,0.284143989,0.252372735,2.10%,0.014402051,25.139752,1.78881782,"643,120,129,220",5.765,6,0.996189476,24.820755,-0.003817803
1/15/15,,,2.4,0.284143989,0.252372735,2.10%,0.000655656,479.9322712,1.937967926,"643,120,129,220",5.765,6,0.97285971,24.14711,-0.027515391
1/16/15,,,2.4,0.284143989,0.252372735,2.10%,-0.031757689,-9.83903996,1.936838052,"643,120,129,220",5.765,6,0.992229882,23.959486,-0.007800463
1/20/15,,,2.4,0.284143989,0.252372735,2.10%,-0.035509452,-10.21427612,1.787125093,"643,120,129,220",5.765,6,1.025757186,24.576611,0.025431058
1/21/15,,,2.4,0.284143989,0.252372735,2.10%,-0.020151189,-17.61147403,1.80062162,"643,120,129,220",5.765,6,1.007634327,24.764238,0.007605333
1/22/15,,,2.4,0.284143989,0.252372735,2.10%,-0.004793108,-78.47525371,1.811085239,"643,120,129,220",5.765,6,1.026015481,25.408491,0.025682835
1/23/15,,,2.4,0.284143989,0.252372735,2.10%,0.003902338,95.54669287,1.678403421,"643,120,129,220",5.765,6,1.005160178,25.539608,0.00514691
1/26/15,,,2.4,0.284143989,0.252372735,2.10%,0.009684069,40.50587134,1.609687461,"643,120,129,220",5.765,6,1.001062099,25.566734,0.001061536
1/27/15,,,2.4,0.284143989,0.252372735,2.10%,-0.043479229,-8.016265874,1.692297964,"643,120,129,220",5.765,6,0.964986737,24.671558,-0.035640921
